Name,Description,Section,Assignee,Collaborators,Start Date,Due Date,Type,Dependents,Other information,Parent Task
HYDRAULIC LID LOCK CYLINDER SERVICING E542Y,,ON-GOING REFLECTING COMMENTS,fc.tadena@gmail.com,,3/1/2024,,,,,
HYDRAULIC OVER CENTRE VALVE SERVICING E54,,ON-GOING REFLECTING COMMENTS,fc.tadena@gmail.com,,3/1/2024,,,,,
HYDRAULIC PRESSURE RELIEF VALVE SERVICING,,ON-GOING REFLECTING COMMENTS,fc.tadena@gmail.com,,3/1/2024,,,,,
HYDRAULIC QUICK ACTING  VALVE SERVICING E54,,ON-GOING REFLECTING COMMENTS,fc.tadena@gmail.com,,3/1/2024,,,,,
HYDRAULIC SPEED REGULATOR VALVE SERVICING,,ON-GOING REFLECTING COMMENTS,fc.tadena@gmail.com,,3/1/2024,,,,,
HYDRAULIC STOP VALVE (HS-22W-6M) SERVICING,,ON-GOING REFLECTING COMMENTS,fc.tadena@gmail.com,,3/1/2024,,,,,
HYDRAULIC VALVE (HS-43W-6) SERVICING E54,,ON-GOING REFLECTING COMMENTS,fc.tadena@gmail.com,,3/1/2024,,,,,
HYDRAULIC VALVE (HS-43W-6V) SERVICING E54,,ON-GOING REFLECTING COMMENTS,fc.tadena@gmail.com,,3/1/2024,,,,,
<to utilize existing MPLAN>,,DONE,fc.tadena@gmail.com,,3/1/2024,,,,,
<to utilize existing MPLAN>,,DONE,fc.tadena@gmail.com,,3/1/2024,,,,,
2Y (15000H) Diverter Maintenance,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,5/1/2024,,,,,
6M (4000H) Diverter Maintenance,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,5/1/2024,,,,,
3Y DRIVE GEAR MOTOR PM,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,5/1/2024,,,,,
6M DRIVE GEAR MOTOR PM,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,5/1/2024,,,,,
Rotary Valve GL 300 - 3M (2500OH) Inspection,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,5/1/2024,,,,,
Rotary Valve GL 300 - 12M (10000OH) Servicing,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,5/1/2024,,,,,
Sealing or Quenching Liquid Check 2Y,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,1/1/2024,,,,,
Sealing or Quenching Liquid Check 1D,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,1/1/2024,,,,,
Replacement of Shaft Seal 2Y,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,1/1/2024,,,,,
Replacement of Motor 2Y (Existing MPLAN),,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,1/1/2024,,,,,
Calibration of Pressure Transmitter 52W,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,1/1/2024,,,,,
Replacement of Valve Terminal,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,1/1/2024,,,,,
3M 2000L Sludge Tank Agitator Gearbox - INSPECTION,,ON-GOING ROUTING/REVIEW (PHYSICAL),j.allado@gmail.com,,6/1/2024,,,,,
3Y 2000L Sludge Tank Agitator Gearbox - CHANGE GEAR OIL,,ON-GOING ROUTING/REVIEW (PHYSICAL),j.allado@gmail.com,,6/1/2024,,,,,
6M 2000L Sludge Tank Agitator Gearbox - INSPECTION,,ON-GOING ROUTING/REVIEW (PHYSICAL),j.allado@gmail.com,,6/1/2024,,,,,
12W VACUUM PUMP LEMA 251 9Z Inspection,,ON-GOING ROUTING/REVIEW (PHYSICAL),j.allado@gmail.com,,7/8/2024,,,,,
12W VACUUM PUMP LEMA 425 AZ Inspection,,ON-GOING ROUTING/REVIEW (PHYSICAL),j.allado@gmail.com,,7/8/2024,,,,,
MPlan1_Butterfly Valves.FS,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,1/1/2024,,,,,
MPlan2_Mixproof Valves.FS,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,1/1/2024,,,,,
MPlan3_Pneumatic Actuator Replacement.FS,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,1/1/2024,,,,,
Replacement of Motor - 801,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,1/1/2024,,,,,
Replacement of Shaft Seal - 803,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,1/1/2024,,,,,
Sealing or Quenching Liquid Check - 802,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,1/1/2024,,,,,
Replacement of Motor - 798,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,1/1/2024,,,,,
Replacement of Shaft Seal - 800,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,1/1/2024,,,,,
Sealing or Quenching Liquid Check - 799,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,1/1/2024,,,,,
Nozzle Spray 1/4,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,1/1/2024,,,,,
Hoist Control Set DEMAG,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,1/1/2024,,,,,
Hoist Electric DEMAG,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,1/1/2024,,,,,
Hose pre-wet ESI-NEP 6,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,1/1/2024,,,,,
Hose water nipple union,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,1/1/2024,,,,,
Hose water pipe union,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,1/1/2024,,,,,
Hose water nipple union ESIC BSP 4mtrs,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,1/1/2024,,,,,
Motor vibrating flap ESIC VV40B,,DONE,fc.tadena@gmail.com,,1/1/2024,,,,,
Valve Solenoid Spray,,DONE,fc.tadena@gmail.com,,1/1/2024,,,,,
"Valve Solenoid Spray 1 1/2"" DP100",,DONE,fc.tadena@gmail.com,,1/1/2024,,,,,
Chain Duplex ESIC,,DONE,fc.tadena@gmail.com,,1/1/2024,,,,,
Motor Gear SW Helical,,DONE,fc.tadena@gmail.com,,1/1/2024,,,,,
MaghSpare Partser Knocker Nippon SIC-1AS,,DONE,fc.tadena@gmail.com,,1/1/2024,,,,,
MaghSpare Partser Knocker Nippon SB-1A,,DONE,fc.tadena@gmail.com,,1/1/2024,,,,,
Actuator Door Flap ESIC MDUH 1003,,DONE,fc.tadena@gmail.com,,1/1/2024,,,,,
Switch Proximity,,DONE,fc.tadena@gmail.com,,1/1/2024,,,,,
SKF Bearing FYTB 15 FM,,ON-GOING ROUTING/REVIEW (DOCUSIGN),jr.santander@gmail.com,,5/1/2024,,,,,
"Spring Compression, OD 50-51mm 100mm L",,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,5/1/2024,,,,,
Cylinder Pneumatic 160x100 mm 12kN Festo,,DONE,fc.tadena@gmail.com,,5/1/2024,,,,,
"Hose PTFE Exitflex EF179 1/4"" OL=30cm",,DONE,fc.tadena@gmail.com,,5/1/2024,,,,,
Vibrator Assembly,,DONE,fc.tadena@gmail.com,,5/1/2024,,,,,
Hydraulic cylinder - Expulsion valve - D130L09E0254028,,DONE,fc.tadena@gmail.com,,5/1/2024,,,,,
"Tubing Flexible  Compair 1089041000205 1000mm nipples FL6.35/FL6.35, Inox        ",,DONE,fc.tadena@gmail.com,,5/1/2024,,,,,
SPARE EXPULSION VALVE CYLINDER - 1089041050201,,DONE,fc.tadena@gmail.com,,5/1/2024,,,,,
SPARE EXPULSION VALVE CYLINDER -  1178012011,,DONE,fc.tadena@gmail.com,,5/1/2024,,,,,
"SPARE MATERIAL FOR
EXPULSION VALVE OPERATION - V2318N001",,DONE,fc.tadena@gmail.com,,5/1/2024,,,,,
"SPARE MATERIAL FOR
EXPULSION VALVE OPERATION - V2018N002",,DONE,fc.tadena@gmail.com,,5/1/2024,,,,,
"SPARE MATERIAL FOR
EXPULSION VALVE OPERATION - V2102N001",,DONE,fc.tadena@gmail.com,,5/1/2024,,,,,
"SPARE MATERIAL FOR
EXPULSION VALVE OPERATION - V2218N001",,DONE,fc.tadena@gmail.com,,5/1/2024,,,,,
"SPARE MATERIAL FOR
EXPULSION VALVE OPERATION - 1118072",,DONE,fc.tadena@gmail.com,,5/1/2024,,,,,
"SPARE MATERIAL FOR
EXPULSION VALVE OPERATION - V1502A001",,DONE,fc.tadena@gmail.com,,5/1/2024,,,,,
SPARE LID CYLINDER - D150L11C0330019,,DONE,fc.tadena@gmail.com,,5/1/2024,,,,,
SPARE LID CYLINDER - 1122120700002,,DONE,fc.tadena@gmail.com,,5/1/2024,,,,,
SPARE LID CYLINDER - 1122120800003,,DONE,fc.tadena@gmail.com,,5/1/2024,,,,,
SPARE LID CYLINDER - V2818B001,,DONE,fc.tadena@gmail.com,,5/1/2024,,,,,
SPARE LID CYLINDER - V2418B005,,DONE,fc.tadena@gmail.com,,5/1/2024,,,,,
SPARE LID CYLINDER - 1089040850202,,DONE,fc.tadena@gmail.com,,5/1/2024,,,,,
SPARE LID CYLINDER - 1089040950202,,DONE,fc.tadena@gmail.com,,5/1/2024,,,,,
SPARE LID CYLINDER - 1115006144,,DONE,fc.tadena@gmail.com,,5/1/2024,,,,,
"SPARE RING CYLINDER AND
RING LOCK CYLINDER ""VH2""
 - D090L11C0155007",,DONE,fc.tadena@gmail.com,,5/1/2024,,,,,
"SPARE RING CYLINDER AND
RING LOCK CYLINDER ""VH2"" - 1122120800002",,DONE,fc.tadena@gmail.com,,5/1/2024,,,,,
"SPARE RING CYLINDER AND
RING LOCK CYLINDER ""VH2"" - 1122120850002",,DONE,fc.tadena@gmail.com,,5/1/2024,,,,,
"SPARE RING CYLINDER AND
RING LOCK CYLINDER ""VH2"" - 1089040570202",,DONE,fc.tadena@gmail.com,,5/1/2024,,,,,
"SPARE RING CYLINDER AND
RING LOCK CYLINDER ""VH2"" - E050A05F0020012",,DONE,fc.tadena@gmail.com,,5/1/2024,,,,,
Silverpress Flexible Tubing - 1089040550204,,DONE,fc.tadena@gmail.com,,5/1/2024,,,,,
SPARE FILTER LOCK CYLINDER - E125B09E0010124,,DONE,fc.tadena@gmail.com,,5/1/2024,,,,,
SPARE FILTER LOCK CYLINDER - 1089041100202,,DONE,fc.tadena@gmail.com,,5/1/2024,,,,,
"GENERALLY SPARES FOR
HYDRAULIC SYSTEM - 1119002",,DONE,fc.tadena@gmail.com,,5/1/2024,,,,,
"GENERALLY SPARES FOR
HYDRAULIC SYSTEM - 1116014",,DONE,fc.tadena@gmail.com,,5/1/2024,,,,,
"GENERALLY SPARES FOR
HYDRAULIC SYSTEM - 1096160003",,DONE,fc.tadena@gmail.com,,5/1/2024,,,,,
"GENERALLY SPARES FOR
HYDRAULIC SYSTEM - 1107006",,DONE,fc.tadena@gmail.com,,5/1/2024,,,,,
"GENERALLY SPARES FOR
HYDRAULIC SYSTEM - 10990016002",,DONE,fc.tadena@gmail.com,,5/1/2024,,,,,
"GENERALLY SPARES FOR
HYDRAULIC SYSTEM - 1107007",,DONE,fc.tadena@gmail.com,,5/1/2024,,,,,
GENERALLY SPARES FOR HYDRAULIC SYSTEM - 1079D130L10014,,DONE,fc.tadena@gmail.com,,5/1/2024,,,,,
GENERALLY SPARES FOR HYDRAULIC SYSTEM - 1079D150L12011,,DONE,fc.tadena@gmail.com,,5/1/2024,,,,,
GENERALLY SPARES FOR HYDRAULIC SYSTEM - 1079D090L12009,,DONE,fc.tadena@gmail.com,,5/1/2024,,,,,
GENERALLY SPARES FOR HYDRAULIC SYSTEM - 1090V2018002,,DONE,fc.tadena@gmail.com,,5/1/2024,,,,,
GENERALLY SPARES FOR HYDRAULIC SYSTEM - 1090V2118002,,DONE,fc.tadena@gmail.com,,5/1/2024,,,,,
GENERALLY SPARES FOR HYDRAULIC SYSTEM - 1079E125A10042,,DONE,fc.tadena@gmail.com,,5/1/2024,,,,,
GENERALLY SPARES FOR HYDRAULIC SYSTEM - 1090V0100001,,DONE,fc.tadena@gmail.com,,5/1/2024,,,,,
"Hose Flex Compair 1122120800001 800mm type: 15L-1ST-15K90L, 800 mm long",,ON-GOING ROUTING/REVIEW (DOCUSIGN),fc.tadena@gmail.com,,5/1/2024,,,,,
SPARE LID CYLINDER - 189041100202,,ON-GOING ROUTING/REVIEW (DOCUSIGN),fc.tadena@gmail.com,,5/1/2024,,,,,
Hydraulic valve - V2318N002 type: HS-4/3W-6,,ON-GOING ROUTING/REVIEW (DOCUSIGN),fc.tadena@gmail.com,,5/1/2024,,,,,
Hydraulic valve - V2318N004 type: HS-2/2W-6/M,,ON-GOING ROUTING/REVIEW (DOCUSIGN),fc.tadena@gmail.com,,5/1/2024,,,,,
Pneum.- throttle-check valve - 1135016001 type: DRV-18,,ON-GOING ROUTING/REVIEW (DOCUSIGN),fc.tadena@gmail.com,,5/1/2024,,,,,
Hydraulic solenoid valve 4/2 - 1096000022 type: MS-W 4/2W-10,,ON-GOING ROUTING/REVIEW (DOCUSIGN),fc.tadena@gmail.com,,5/1/2024,,,,,
Stiffener sleeve INOX - 1115006061 Type: SO 50003-6-4,,ON-GOING ROUTING/REVIEW (DOCUSIGN),fc.tadena@gmail.com,,5/1/2024,,,,,
Repair kit for pneum. locking-cylinder - 1079E050A06008 V50-20EdK/spez.9,,ON-GOING ROUTING/REVIEW (DOCUSIGN),fc.tadena@gmail.com,,5/1/2024,,,,,
Hose Flexible Compair 1122120950002 950mm         ,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,5/1/2024,,,,,
SPARE EXPULSION VALVE CYLINDER - 1178012012,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,5/1/2024,,,,,
SPARE EXPULSION VALVE CYLINDER - 1115006117,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,5/1/2024,,,,,
SPARE LID CYLINDER - 1089081200001,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,5/1/2024,,,,,
"SPARE RING CYLINDER AND
RING LOCK CYLINDER ""VH2"" - 1089040610201",,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,5/1/2024,,,,,
"SPARE RING CYLINDER AND
RING LOCK CYLINDER ""VH2"" - 1089040630201",,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,5/1/2024,,,,,
"SPARE RING CYLINDER AND
RING LOCK CYLINDER ""VH2"" - 1089040500205",,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,5/1/2024,,,,,
SPARE FILTER LOCK CYLINDER - 1089040950203,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,5/1/2024,,,,,
SPARE FILTER LOCK CYLINDER - 1115006497,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,5/1/2024,,,,,
GENERALLY SPARES FOR HYDRAULIC SYSTEM - 1096100001,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,5/1/2024,,,,,
"GENERALLY SPARES FOR
HYDRAULIC SYSTEM - 1144007",,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,5/1/2024,,,,,
"GENERALLY SPARES FOR
HYDRAULIC SYSTEM - 1115006439",,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,5/1/2024,,,,,
GENERALLY SPARES FOR HYDRAULIC SYSTEM - 1090V2318002,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,5/1/2024,,,,,
GENERALLY SPARES FOR HYDRAULIC SYSTEM - 1090V2318001,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,5/1/2024,,,,,
GENERALLY SPARES FOR HYDRAULIC SYSTEM - 1090V2118001,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,5/1/2024,,,,,
GENERALLY SPARES FOR HYDRAULIC SYSTEM - 1090V2418004,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,5/1/2024,,,,,
GENERALLY SPARES FOR HYDRAULIC SYSTEM - 1079E125A10041,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,5/1/2024,,,,,
Silverpress flexible tubing - 1089041000201,,ON-GOING REFLECTING COMMENTS,fc.tadena@gmail.com,,5/1/2024,,,,,
Silverpress Tubing - 10890812200002,,ON-GOING REFLECTING COMMENTS,fc.tadena@gmail.com,,5/1/2024,,,,,
Hydraulic Flexible Tubing - 1122120500004,,ON-GOING REFLECTING COMMENTS,fc.tadena@gmail.com,,5/1/2024,,,,,
Baering Bush DA115 - 1005115004,,ON-GOING REFLECTING COMMENTS,fc.tadena@gmail.com,,5/1/2024,,,,,
Thermal Sleeve Braided Fibreglass - 398-896,,ON-GOING REFLECTING COMMENTS,fc.tadena@gmail.com,,5/1/2024,,,,,
Oil Level switch,,ON-GOING REFLECTING COMMENTS,fc.tadena@gmail.com,,5/1/2024,,,,,
Hydraulic Internal Gear Pump,,ON-GOING REFLECTING COMMENTS,fc.tadena@gmail.com,,5/1/2024,,,,,
Shaft Socket - ,,ON-GOING REFLECTING COMMENTS,fc.tadena@gmail.com,,5/1/2024,,,,,
"Suction filter - 10990040001 type: S45 - G1""-A",,ON-GOING REFLECTING COMMENTS,fc.tadena@gmail.com,,5/1/2024,,,,,
Gasket  Klinger C4408 107x52x1.5mm         ,,DONE,fc.tadena@gmail.com,,5/1/2024,,,,,
Gasket  Klinger C4408 145x80x1.5mm         ,,DONE,fc.tadena@gmail.com,,5/1/2024,,,,,
Gasket  Klinger C4408 107x50x1.5mm         ,,DONE,fc.tadena@gmail.com,,5/1/2024,,,,,
Gasket Steelflon 98x50x2mm ,,DONE,fc.tadena@gmail.com,,5/1/2024,,,,,
Gasket head Ginox 3813/22A 735x3mm,,DONE,fc.tadena@gmail.com,,5/1/2024,,,,,
Gasket head Ginox 3813/22A 585x3mm,,DONE,fc.tadena@gmail.com,,5/1/2024,,,,,
Gasket head Ginox 3813/22B 735x3mm,,DONE,fc.tadena@gmail.com,,5/1/2024,,,,,
Gasket head Ginox 3813/22B 585x3mm,,DONE,fc.tadena@gmail.com,,5/1/2024,,,,,
"3/4""W Flanges Stud A193 Gr B7 (ZN)  SET (+  3/4""W Stud nuts ASTM A184 Gr 2H DIN-934,3/4""W Stud washer HV140 (ZN) dia21 DIN125)",,ON-GOING ROUTING/REVIEW (DOCUSIGN),jr.santander@gmail.com,,5/1/2024,,,,,
Gearmotor SEW EURODRIVE R57 DRN80M4/TF,,ON-GOING ROUTING/REVIEW (DOCUSIGN),jr.santander@gmail.com,,6/1/2024,,,,,
Ball-bearing 6314-2RS1  PN:03431534,,ON-GOING ROUTING/REVIEW (DOCUSIGN),j.allado@gmail.com,,6/1/2024,,,,,
Nilos ring 6314 ZJV PN:03433034,,ON-GOING ROUTING/REVIEW (DOCUSIGN),j.allado@gmail.com,,6/1/2024,,,,,
Key 10x8x50 St PN:46016050,,ON-GOING ROUTING/REVIEW (DOCUSIGN),j.allado@gmail.com,,6/1/2024,,,,,
Packingset AL-BL 300/350 TEADIT 2005 FDA EC 1935/2004 PN:20803094,,ON-GOING ROUTING/REVIEW (DOCUSIGN),j.allado@gmail.com,,6/1/2024,,,,,
Chain wheel 3/4''-21t-dia38 St PN:CW0202138,,ON-GOING ROUTING/REVIEW (DOCUSIGN),j.allado@gmail.com,,6/1/2024,,,,,
Chain wheel 3/4''-13t-dia35 St PN:CW0201335,,ON-GOING ROUTING/REVIEW (DOCUSIGN),j.allado@gmail.com,,6/1/2024,,,,,
12B-1 Roller Chain L=43.52in,,ON-GOING ROUTING/REVIEW (DOCUSIGN),jr.santander@gmail.com,,6/1/2024,,,,,
Spare mec. seal 9.667a 2K 10V2/2N 5V2,,WAITING FOR QUOTATION,za.flores@gmail.com,,8/2/2024,,,,,
"O-Ring 376 ARP Ø247,02x5,33",,WAITING FOR QUOTATION,za.flores@gmail.com,,8/2/2024,,,,,
"O-Ring 029 ARP Ø37,82x1,78",,WAITING FOR QUOTATION,za.flores@gmail.com,,8/2/2024,,,,,
Spare mec. seal 9.667a 2K 10V2/2N 5V2,,WAITING FOR QUOTATION,za.flores@gmail.com,,8/2/2024,,,,,
"O-Ring 376 ARP Ø247,02x5,33",,WAITING FOR QUOTATION,za.flores@gmail.com,,8/2/2024,,,,,
"O-Ring 029 ARP Ø37,82x1,78",,WAITING FOR QUOTATION,za.flores@gmail.com,,8/2/2024,,,,,
Spare mec. seal 9.468 2N 5V2,,WAITING FOR QUOTATION,za.flores@gmail.com,,8/2/2024,,,,,
"O-Ring 364 ARP Ø170,82x5,33",,WAITING FOR QUOTATION,za.flores@gmail.com,,8/2/2024,,,,,
"O-Ring 022 ARP Ø25,12x1,78",,WAITING FOR QUOTATION,za.flores@gmail.com,,8/2/2024,,,,,
Seal Mechanical Fristam (Model: Fristam 752/250 VA),,WAITING FOR QUOTATION,za.flores@gmail.com,,8/2/2024,,,,,
O-Ring Ø253 37x5,,WAITING FOR QUOTATION,za.flores@gmail.com,,8/2/2024,,,,,
Seal Mechanical Fristam FPE 752/250 VA,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,7/1/2024,,,,,
O-ring Firstam FPE 752/250 VA 376,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,7/1/2024,,,,,
O-ring Firstam FPE 752/250 VA 029,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,7/1/2024,,,,,
Pneumatic Control Valve 3730-3,,ON-GOING ROUTING/REVIEW (DOCUSIGN),za.flores@gmail.com,,7/1/2024,,,,,
O-Ring  Fristam 180350377 Ø253 37x5         ,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,7/1/2024,,,,,
Seal Mechanical  Fristam 816330271 9.467a 2K 10V2,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,7/1/2024,,,,,
Transmitter Temperature Rosemount 248,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,7/1/2024,,,,,
Transmitter Temperature Rosemount 2051TG3A2B21AS5B4Q4,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,7/1/2024,,,,,
Transmitter Temperature Rosemount 2051,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,7/1/2024,,,,,
Sensor Magnetic Flow Meter Rosemount 8705,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,7/1/2024,,,,,
Valve Terminal Festo HY-MPA-FB-VI-MSB6,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,7/1/2024,,,,,
Base-sub VMPA1-FB-AP-4-1,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,7/1/2024,,,,,
Seal VMPA1-DP,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,7/1/2024,,,,,
Module Electrical Manifold VMPA1-FB-EV-AB,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,7/1/2024,,,,,
Module Electronics VMPA1-FB-EMG-8,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,7/1/2024,,,,,
Valve Solenoid VMPA1-M1H-J-PI,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,7/1/2024,,,,,
Module Input CVX-16DE,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,7/1/2024,,,,,
Module Analogue Input CVX-4AE-1,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,7/1/2024,,,,,
Module Analogue Output CPX-2AA-U-I,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,7/1/2024,,,,,
Transmitter Pressure UPT-20,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,7/1/2024,,,,,
Load cell Controller Minebea PR 5230/02,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,7/1/2024,,,,,
Valve Pneumatic Samson 3730-3,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,7/1/2024,,,,,
Valve Control Samson 3241-7,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,7/1/2024,,,,,
Digital Conductivity,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,7/1/2024,,,,,
Control Board Pneumatic V70 Think Top,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,7/1/2024,,,,,
Control Board Pneumatic V50 Think Top,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,7/1/2024,,,,,
Valve Control Unique RV-P,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,7/1/2024,,,,,
Flowmeter Magnetic Rosemount ,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,7/1/2024,,,,,
Sensor Toroidal Conductivity Rosemount ,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,7/1/2024,,,,,
Power Supply Board for 1056-01,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,7/1/2024,,,,,
O-Ring Cover Fristman 3552/215 B,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,7/1/2024,,,,,
Impeller Nut O-Ring ,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,7/1/2024,,,,,
